"","Total_Electric_Vehicles","Total_Charging_Stations","CS_to_EV_Ratio_Percent","Does_CS_Exist","Zip_Code","City","County","fips","state"
"1",511,9,1.76,TRUE,98001,"Algona","King",53033,"WA"
"2",186,13,6.99,TRUE,98002,"Auburn","King",53033,"WA"
"3",356,13,3.65,TRUE,98003,"Federal way","King",53033,"WA"
"4",2140,122,5.7,TRUE,98004,"Beaux arts","King",53033,"WA"
"5",940,57,6.06,TRUE,98005,"Bellevue","King",53033,"WA"
"6",2049,8,0.39,TRUE,98006,"Bellevue","King",53033,"WA"
"7",690,15,2.17,TRUE,98007,"Bellevue","King",53033,"WA"
"8",1066,5,0.47,TRUE,98008,"Bellevue","King",53033,"WA"
"9",244,0,0,FALSE,98010,"Black diamond","King",53033,"WA"
"10",800,18,2.25,TRUE,98011,"Bothell","King",53033,"WA"
"11",2161,3,0.14,TRUE,98012,"Mill creek","Snohomish",53061,"WA"
"12",273,0,0,FALSE,98014,"Carnation","King",53033,"WA"
"13",412,0,0,FALSE,98019,"Duvall","King",53033,"WA"
"14",624,7,1.12,TRUE,98020,"Woodway","Snohomish",53061,"WA"
"15",1319,3,0.23,TRUE,98021,"Bothell","Snohomish",53061,"WA"
"16",238,2,0.84,TRUE,98022,"Enumclaw","King",53033,"WA"
"17",580,1,0.17,TRUE,98023,"Federal way","King",53033,"WA"
"18",198,1,0.51,TRUE,98024,"Fall city","King",53033,"WA"
"19",838,3,0.36,TRUE,98026,"Edmonds","Snohomish",53061,"WA"
"20",1150,16,1.39,TRUE,98027,"Issaquah","King",53033,"WA"
"21",749,4,0.53,TRUE,98028,"Kenmore","King",53033,"WA"
"22",1300,11,0.85,TRUE,98029,"Zcta 98029","King",53033,"WA"
"23",581,3,0.52,TRUE,98031,"Kent","King",53033,"WA"
"24",376,8,2.13,TRUE,98032,"Kent","King",53033,"WA"
"25",2233,20,0.9,TRUE,98033,"Kirkland","King",53033,"WA"
"26",1734,18,1.04,TRUE,98034,"Kirkland","King",53033,"WA"
"27",751,10,1.33,TRUE,98036,"Brier","Snohomish",53061,"WA"
"28",483,13,2.69,TRUE,98037,"Lynnwood","Snohomish",53061,"WA"
"29",937,0,0,FALSE,98038,"Maple valley","King",53033,"WA"
"30",263,0,0,FALSE,98039,"Medina","King",53033,"WA"
"31",1827,11,0.6,TRUE,98040,"Mercer island","King",53033,"WA"
"32",835,5,0.6,TRUE,98042,"Kent","King",53033,"WA"
